time,badj_open,badj_high,badj_low,badj_close,unadj_open,unadj_high,unadj_low,unadj_close,source,conflict,unadj_prev_close,badj_prev_close,badj_close_delta,badj_open_gap_delta,continuous_return,continuous_gap_return,unadj_raw_return,estimated_roll_effect_return,mnq_point_pnl_per_contract,nq_point_pnl_per_contract
2007-09-07,5524.5,5525.25,5473.75,5491.5,2003.5,2004.25,1952.75,1970.5,long_file_only,False,2003.75,5524.75,-33.25,-0.25,-0.016593886462882096,-0.00012476606363069246,-0.016593886462882068,2.7755575615628914e-17,-66.5,-665.0
2007-09-10,5489.75,5507.75,5468.0,5489.25,1968.75,1986.75,1947.0,1968.25,long_file_only,False,1970.5,5491.5,-2.25,-1.75,-0.001141842172037554,-0.0008880994671403197,-0.0011418421720374994,5.4643789493269423e-17,-4.5,-45.0
2007-09-11,5489.5,5516.0,5487.5,5514.5,1968.5,1995.0,1966.5,1993.5,long_file_only,False,1968.25,5489.25,25.25,0.25,0.012828654896481646,0.00012701638511367967,0.01282865489648155,-9.540979117872439e-17,50.5,505.0
2007-09-12,5514.25,5530.25,5505.0,5517.25,1993.25,2009.25,1984.0,1996.25,long_file_only,False,1993.5,5514.5,2.75,-0.25,0.0013794833207925758,-0.00012540757461750688,0.0013794833207925183,-5.746271514173174e-17,5.5,55.0
2007-09-13,5518.0,5529.5,5512.25,5521.75,1997.0,2008.5,1991.25,2000.75,long_file_only,False,1996.25,5517.25,4.5,0.75,0.0022542266750156543,0.0003757044458359424,0.002254226675015625,-2.949029909160572e-17,9.0,90.0
2007-09-14,5524.0,5527.5,5502.25,5522.25,2003.0,2006.5,1981.25,2001.25,long_file_only,False,2000.75,5521.75,0.5,2.25,0.00024990628514307136,0.001124578283143821,0.00024990628514309776,2.6400322900022033e-17,1.0,10.0
2007-09-17,5521.25,5521.75,5497.75,5503.5,2000.25,2000.75,1976.75,1982.5,long_file_only,False,2001.25,5522.25,-18.75,-1.0,-0.009369144284821987,-0.0004996876951905059,-0.00936914428482194,4.683753385137379e-17,-37.5,-375.0
2007-09-18,5504.5,5558.75,5498.75,5556.75,2007.0,2061.25,2001.25,2059.25,long_file_only,False,1982.5,5503.5,53.25,1.0,0.02686002522068096,0.0005044136191677175,0.03871374527112237,0.01185372005044141,106.5,1065.0
2007-09-19,5555.25,5578.25,5553.25,5561.5,2057.75,2080.75,2055.75,2064.0,long_file_only,False,2059.25,5556.75,4.75,-1.5,0.002306665047954352,-0.0007284205414592692,0.0023066650479544037,5.160802341031001e-17,9.5,95.0
2007-09-20,5560.25,5564.75,5550.25,5555.25,2062.75,2067.25,2052.75,2057.75,long_file_only,False,2064.0,5561.5,-6.25,-1.25,-0.0030281007751937986,-0.0006056201550387597,-0.003028100775193776,2.2551405187698492e-17,-12.5,-125.0
2007-09-21,5555.75,5575.5,5551.75,5566.0,2058.25,2078.0,2054.25,2068.5,long_file_only,False,2057.75,5555.25,10.75,0.5,0.005224152593852509,0.0002429838415745353,0.00522415259385256,5.117434254131581e-17,21.5,215.0
2007-09-24,5566.0,5593.25,5564.0,5577.25,2068.5,2095.75,2066.5,2079.75,long_file_only,False,2068.5,5566.0,11.25,0.0,0.005438723712835388,0.0,0.0054387237128354915,1.0321604682062002e-16,22.5,225.0
2007-09-25,5576.5,5598.5,5568.75,5595.0,2079.0,2101.0,2071.25,2097.5,long_file_only,False,2079.75,5577.25,17.75,-0.75,0.008534679648996273,-0.0003606202668589975,0.008534679648996235,-3.8163916471489756e-17,35.5,355.0
2007-09-26,5595.5,5615.25,5595.0,5607.0,2098.0,2117.75,2097.5,2109.5,long_file_only,False,2097.5,5595.0,12.0,0.5,0.0057210965435041715,0.00023837902264600716,0.005721096543504167,-4.336808689942018e-18,24.0,240.0
2007-09-27,5607.0,5620.5,5607.0,5619.25,2109.5,2123.0,2109.5,2121.75,long_file_only,False,2109.5,5607.0,12.25,0.0,0.005807063285138659,0.0,0.005807063285138581,-7.806255641895632e-17,24.5,245.0
2007-09-28,5618.75,5621.5,5600.75,5611.5,2121.25,2124.0,2103.25,2114.0,long_file_only,False,2121.75,5619.25,-7.75,-0.5,-0.003652645222104395,-0.00023565453045834805,-0.0036526452221044003,-5.204170427930421e-18,-15.5,-155.0
2007-10-01,5613.75,5641.0,5607.0,5632.75,2116.25,2143.5,2109.5,2135.25,long_file_only,False,2114.0,5611.5,21.25,2.25,0.010052034058656576,0.0010643330179754022,0.010052034058656512,-6.418476861114186e-17,42.5,425.0
2007-10-02,5633.25,5638.0,5622.75,5633.0,2135.75,2140.5,2125.25,2135.5,long_file_only,False,2135.25,5632.75,0.25,0.5,0.00011708230886313078,0.00023416461772626156,0.00011708230886320337,7.258733544790452e-17,0.5,5.0
2007-10-03,5632.25,5636.25,5612.75,5618.25,2134.75,2138.75,2115.25,2120.75,long_file_only,False,2135.5,5633.0,-14.75,-0.75,-0.006907047529852494,-0.00035120580660266915,-0.006907047529852495,-8.673617379884035e-19,-29.5,-295.0
2007-10-04,5618.75,5626.25,5606.0,5620.5,2121.25,2128.75,2108.5,2123.0,long_file_only,False,2120.75,5618.25,2.25,0.5,0.0010609454202522692,0.00023576564894494873,0.0010609454202523683,9.90960785651751e-17,4.5,45.0
2007-10-05,5620.5,5670.5,5619.0,5668.25,2123.0,2173.0,2121.5,2170.75,long_file_only,False,2123.0,5620.5,47.75,0.0,0.022491756947715498,0.0,0.022491756947715436,-6.245004513516506e-17,95.5,955.0
