date,continuous_return,estimated_roll_effect_return,badj_close_delta,unadj_close,TQQQ_adjclose,BIL_adjclose,TQQQ,"MNQ 3x, no cash",MNQ 3x + 55% BIL,MNQ 3x + 70% BIL,BIL
2015-06-22,0.0073337407633757,4.163336342344337e-17,33.0,4532.75,2.3350369930267334,73.66211700439453,0.024124908698968772,0.0220012222901271,0.02212138785225889,0.022154160278294834,0.00021848284023961995
2015-06-23,0.0018752412994319,-7.199102425303751e-17,8.5,4541.25,2.3407950401306152,73.64602661132812,0.002465933996368186,0.0056257238982957,0.00550558458454238,0.005472819317155111,-0.00021843511591512765
2015-06-24,-0.0056151940545004,1.908195823574488e-17,-25.5,4515.75,2.3048534393310547,73.64602661132812,-0.0153544416249084,-0.0168455821635012,-0.0168455821635012,-0.0168455821635012,0.0
2015-06-25,-0.0014394065216187,-1.5178830414797062e-18,-6.5,4509.25,2.289762496948242,73.66211700439453,-0.0065474628995032536,-0.004318219564856099,-0.004198054002724308,-0.004165281576688365,0.00021848284023961995
2015-06-26,-0.0063757831124909,6.0715321659188256e-18,-28.75,4480.5,2.2472665309906006,73.64602661132812,-0.01855911519831399,-0.019127349337472697,-0.019247488651226018,-0.019280253918613287,-0.00021843511591512765
2015-06-29,-0.0228769110590335,3.4694469519536136e-17,-102.5,4378.0,2.088407278060913,73.66211700439453,-0.07068999192528447,-0.0686307331771005,-0.06851056761496871,-0.06847779518893277,0.00021848284023961995
2015-06-30,0.0027980813156692,-9.020562075079396e-17,12.25,4390.25,2.112236499786377,73.66211700439453,0.011410236870841306,0.0083942439470076,0.0083942439470076,0.0083942439470076,0.0
2015-07-01,0.0072319344000911,-4.4235448637408575e-17,31.75,4422.0,2.155525684356689,73.66211700439453,0.020494478044807085,0.021695803200273298,0.021695803200273298,0.021695803200273298,0.0
2015-07-02,0.0015264586160108,6.938893903907228e-18,6.75,4428.75,2.1636672019958496,73.66211700439453,0.0037770450606300354,0.0045793758480324,0.0045793758480324,0.0045793758480324,0.0
2015-07-06,-0.001354784081287,-4.098284211995207e-17,-6.0,4422.75,2.1453981399536133,73.66211700439453,-0.008443563790856645,-0.004064352243861,-0.004064352243861,-0.004064352243861,0.0
2015-07-07,-0.000113051834266,-9.31058615621927e-18,-0.5,4422.25,2.156320095062256,73.64602661132812,0.0050908756306085046,-0.000339155502798,-0.0004592948165513202,-0.0004920600839385894,-0.00021843511591512765
2015-07-08,-0.0171292893888857,5.551115123125783e-17,-75.75,4346.5,2.048295021057129,73.64602661132812,-0.050096956501260115,-0.0513878681666571,-0.0513878681666571,-0.0513878681666571,0.0
2015-07-09,-0.0016104911998159,1.0625181290357945e-17,-7.0,4339.5,2.042337656021118,73.64602661132812,-0.002908450674715901,-0.0048314735994477,-0.0048314735994477,-0.0048314735994477,0.0
2015-07-10,0.0158428390367553,-6.938893903907227e-17,68.75,4408.25,2.137256622314453,73.64602661132812,0.04647564814441907,0.0475285171102659,0.0475285171102659,0.0475285171102659,0.0
2015-07-13,0.0180910792264504,-3.816391647148976e-17,79.75,4488.0,2.2464728355407715,73.64602661132812,0.05110112285348656,0.0542732376793512,0.0542732376793512,0.0542732376793512,0.0
2015-07-14,0.0065730837789661,1.7347234759768068e-17,29.5,4517.5,2.2915499210357666,73.66211700439453,0.02006571581095673,0.0197192513368983,0.019839416899030092,0.019872189325066035,0.00021848284023961995
2015-07-15,0.0042058660763696,7.28583859910259e-17,19.0,4536.5,2.302471160888672,73.64602661132812,0.004765874726381236,0.012617598229108799,0.012497458915355478,0.01246469364796821,-0.00021843511591512765
2015-07-16,0.0135015981483522,-8.673617379884034e-17,61.25,4597.75,2.3924248218536377,73.64602661132812,0.03906831168745106,0.0405047944450566,0.0405047944450566,0.0405047944450566,0.0
2015-07-17,0.0113642542547985,-6.418476861114186e-17,52.25,4650.0,2.5018398761749268,73.66211700439453,0.04573395716422768,0.034092762764395504,0.034212928326527295,0.03424570075256324,0.00021848284023961995
2015-07-20,0.0045698924731182,6.245004513516506e-17,21.25,4671.25,2.529838800430298,73.64602661132812,0.011191333435047301,0.0137096774193546,0.01358953810560128,0.01355677283821401,-0.00021843511591512765
2015-07-21,-0.001016858442601,-3.903127820947816e-18,-4.75,4666.5,2.522887945175171,73.66211700439453,-0.002747548679364331,-0.003050575327803,-0.002930409765671209,-0.002897637339635266,0.00021848284023961995
2015-07-22,-0.0106075216972034,1.734723475976807e-18,-49.5,4617.0,2.440082550048828,73.64602661132812,-0.03282166981878909,-0.031822565091610196,-0.031942704405363516,-0.031975469672750785,-0.00021843511591512765
2015-07-23,0.0006497725795971,-5.551115123125783e-17,3.0,4620.0,2.4108924865722656,73.64602661132812,-0.011962736045949884,0.0019493177387913,0.0019493177387913,0.0019493177387913,0.0
2015-07-24,-0.0126082251082251,-1.5612511283791264e-17,-58.25,4561.75,2.3423843383789062,73.66211700439453,-0.028416094278331805,-0.0378246753246753,-0.03770450976254351,-0.03767173733650757,0.00021848284023961995
2015-07-27,-0.0086041541075245,-5.030698080332741e-17,-39.25,4522.5,2.2822165489196777,73.64602661132812,-0.025686557271326738,-0.025812462322573504,-0.025932601636326824,-0.025965366903714093,-0.00021843511591512765
2015-07-28,0.0074074074074074,-1.006139616066548e-16,33.5,4556.0,2.3423843383789062,73.64602661132812,0.02636375127842694,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0
2015-07-29,0.0019754170324846,-3.0357660829594124e-17,9.0,4565.0,2.368596076965332,73.66211700439453,0.01119019545894262,0.005926251097453799,0.00604641665958559,0.006079189085621533,0.00021848284023961995
2015-07-30,0.0066265060240963,3.816391647148976e-17,30.25,4595.25,2.401559591293335,73.66211700439453,0.013916899824572893,0.019879518072288903,0.019879518072288903,0.019879518072288903,0.0
2015-07-31,-0.0022305641695228,4.640385298237959e-17,-10.25,4585.0,2.394212007522583,73.66211700439453,-0.003059505080527658,-0.0066916925085684,-0.0066916925085684,-0.0066916925085684,0.0
2015-08-03,-0.0026172300981461,-5.5077470362263625e-17,-12.0,4573.0,2.3721704483032227,73.66211700439453,-0.009206185229255426,-0.0078516902944383,-0.0078516902944383,-0.0078516902944383,0.0
2015-08-04,-0.0046468401486988,1.3010426069826053e-17,-21.25,4551.75,2.356879949569702,73.64602661132812,-0.0064457841739229416,-0.0139405204460964,-0.014060659759849721,-0.01409342502723699,-0.00021843511591512765
2015-08-05,0.0091722963695282,6.938893903907228e-18,41.75,4593.5,2.4120841026306152,73.64602661132812,0.023422556193832378,0.0275168891085846,0.0275168891085846,0.0275168891085846,0.0
2015-08-06,-0.0149668009143354,3.122502256758253e-17,-68.75,4524.75,2.296315193176269,73.64602661132812,-0.04799538678111959,-0.0449004027430062,-0.0449004027430062,-0.0449004027430062,0.0
2015-08-07,-0.0012707884413503,3.859759734048396e-17,-5.75,4519.0,2.287180185317993,73.64602661132812,-0.003978115846387964,-0.0038123653240508997,-0.0038123653240508997,-0.0038123653240508997,0.0
2015-08-10,0.0104005310909493,7.979727989493313e-17,47.0,4566.0,2.3644256591796875,73.66211700439453,0.03377323498933449,0.031201593272847897,0.03132175883497969,0.03135453126101563,0.00021848284023961995
2015-08-11,-0.0121003066141042,3.122502256758253e-17,-55.25,4510.75,2.274273157119751,73.64602661132812,-0.03812871075473523,-0.036300919842312596,-0.036421059156065916,-0.036453824423453185,-0.00021843511591512765
2015-08-12,0.0050435071772986,5.811323644522304e-17,22.75,4533.5,2.294329166412353,73.64602661132812,0.00881864574174629,0.015130521531895801,0.015130521531895801,0.015130521531895801,0.0
2015-08-13,-0.0035844270431234,-3.599551212651875e-17,-16.25,4517.25,2.284003257751465,73.64602661132812,-0.004500622147882494,-0.0107532811293702,-0.0107532811293702,-0.0107532811293702,0.0
2015-08-14,0.0032099175383253,2.688821387764051e-17,14.5,4531.75,2.296315193176269,73.62991333007812,0.0053905069456534616,0.0096297526149759,0.009509416120323282,0.009476597076327115,-0.00021879362664112278
2015-08-17,0.0072819550946102,-9.020562075079396e-17,33.0,4564.75,2.352710008621216,73.62991333007812,0.024558830430826628,0.0218458652838306,0.0218458652838306,0.0218458652838306,0.0
2015-08-18,-0.0045457034886905,-3.5561831257524545e-17,-20.75,4544.0,2.3151795864105225,73.64602661132812,-0.015951996664768653,-0.013637110466071502,-0.013516747636799,-0.013483921410633771,0.000218841507768186
2015-08-19,-0.0088578345070422,3.469446951953614e-18,-40.25,4503.75,2.27169132232666,73.66211700439453,-0.018783970081252765,-0.0265735035211266,-0.026453337958994808,-0.026420565532958865,0.00021848284023961995
2015-08-20,-0.0305301137940605,5.2041704279304207e-17,-137.5,4366.25,2.084634065628052,73.64602661132812,-0.08234272625869976,-0.0915903413821815,-0.09171048069593482,-0.09174324596332209,-0.00021843511591512765
2015-08-21,-0.0379043801889493,-4.163336342344337e-17,-165.5,4200.75,1.8252962827682493,73.64602661132812,-0.1244044636590309,-0.1137131405668479,-0.1137131405668479,-0.1137131405668479,0.0
2015-08-24,-0.0470154139141819,3.4694469519536136e-17,-197.5,4003.25,1.6090489625930786,73.64602661132812,-0.11847244867403628,-0.1410462417425457,-0.1410462417425457,-0.1410462417425457,0.0
2015-08-25,0.0063073752576031,7.892991815694471e-17,25.25,4028.5,1.587801218032837,73.64602661132812,-0.01320515724145499,0.0189221257728093,0.0189221257728093,0.0189221257728093,0.0
2015-08-26,0.0461710314012659,1.3877787807814457e-17,186.0,4214.5,1.816956043243408,73.66211700439453,0.1443221119923792,0.1385130942037977,0.1386332597659295,0.13866603219196544,0.00021848284023961995
2015-08-27,0.0269308340253885,1.1102230246251563e-16,113.5,4328.0,1.9589369297027588,73.64602661132812,0.07814216914455674,0.0807925020761655,0.08067236276241219,0.08063959749502492,-0.00021843511591512765
2015-08-28,0.0011552680221811,-1.3227266504323154e-17,5.0,4333.0,1.9573490619659424,73.66211700439453,-0.0008105762430327124,0.0034658040665433,0.0035859696286750908,0.0036187420547110338,0.00021848284023961995
2015-08-31,-0.0141357027463651,-3.469446951953614e-18,-61.25,4271.75,1.8846704959869385,73.66211700439453,-0.03713112157215648,-0.0424071082390953,-0.0424071082390953,-0.0424071082390953,0.0
2015-09-01,-0.0265699069468016,4.8572257327350605e-17,-113.5,4158.25,1.71369731426239,73.66211700439453,-0.09071781093225828,-0.0797097208404048,-0.0797097208404048,-0.0797097208404048,0.0
2015-09-02,0.024469428245055,3.4694469519536136e-17,101.75,4260.0,1.8530969619750977,73.64602661132812,0.08134438126998411,0.073408284735165,0.07328814542141168,0.07325538015402441,-0.00021843511591512765
2015-09-03,-0.0071596244131455,-8.673617379884035e-18,-30.5,4229.5,1.8225160837173464,73.66211700439453,-0.01650257859424531,-0.0214788732394365,-0.02135870767730471,-0.021325935251268767,0.00021848284023961995
2015-09-04,-0.0083934271190448,2.0816681711721685e-17,-35.5,4194.0,1.7615540027618408,73.64602661132812,-0.03344940629064985,-0.0251802813571344,-0.02530042067088772,-0.02533318593827499,-0.00021843511591512765
2015-09-08,0.0249165474487362,-6.938893903907228e-18,104.5,4298.5,1.911080837249756,73.64602661132812,0.08488348029835047,0.07474964234620861,0.07474964234620861,0.07474964234620861,0.0
2015-09-09,-0.0101198092357799,-6.938893903907228e-18,-43.5,4255.0,1.844557762145996,73.64602661132812,-0.034809137220743414,-0.0303594277073397,-0.0303594277073397,-0.0303594277073397,0.0
2015-09-10,0.0094007050528789,7.806255641895632e-17,40.0,4295.0,1.903534173965454,73.62991333007812,0.03197319868738813,0.0282021151586367,0.028081778663984085,0.028048959619987913,-0.00021879362664112278
2015-09-11,0.0070430733410942,-7.63278329429795e-17,30.25,4325.25,1.9343136548995967,73.64602661132812,0.016169649778350337,0.021129220023282602,0.021249582852555106,0.02128240907872033,0.000218841507768186
2015-09-14,-0.003525807756777,4.2934406030425976e-17,-15.25,4310.0,1.9170376062393188,73.64602661132812,-0.008931358477730744,-0.010577423270331,-0.010577423270331,-0.010577423270331,0.0
2015-09-15,0.011890951276102,-0.0023781902552204,51.25,4351.0,1.983957409858704,73.62991333007812,0.03490792428984357,0.035672853828306,0.03555251733365338,0.03551969828965721,-0.00021879362664112278
2015-09-16,0.0068949666743277,-8.933825901280557e-17,30.0,4381.0,2.017119169235229,73.62991333007812,0.01671495527662903,0.0206849000229831,0.0206849000229831,0.0206849000229831,0.0
2015-09-17,-0.0025679068705774,-1.3877787807814457e-17,-11.25,4369.75,2.0226798057556152,73.62991333007812,0.0027567218661128656,-0.0077037206117322,-0.0077037206117322,-0.0077037206117322,0.0
2015-09-18,-0.0098403798844327,-1.214306433183765e-17,-43.0,4326.75,1.93709409236908,73.62991333007812,-0.04231303103091144,-0.0295211396532981,-0.0295211396532981,-0.0295211396532981,0.0
