date,badj_open,badj_high,badj_low,badj_close,unadj_open,unadj_high,unadj_low,unadj_close
2008-10-15,4833.0,4845.75,4683.5,4683.5,1378.5,1391.25,1229.0,1229.0
2008-10-16,4688.5,4785.25,4645.75,4777.5,1234.0,1330.75,1191.25,1323.0
2008-10-17,4775.5,4826.25,4723.5,4765.5,1321.0,1371.75,1269.0,1311.0
2008-10-20,4768.5,4817.75,4745.5,4814.5,1314.0,1363.25,1291.0,1360.0
2008-10-21,4818.75,4818.75,4735.0,4747.0,1364.25,1364.25,1280.5,1292.5
2008-10-22,4744.5,4778.5,4662.75,4702.5,1290.0,1324.0,1208.25,1248.0
2008-10-23,4700.5,4720.0,4630.25,4708.0,1246.0,1265.5,1175.75,1253.5
2008-10-24,4704.25,4709.25,4604.25,4646.0,1249.75,1254.75,1149.75,1191.5
2008-10-27,4645.25,4683.0,4591.25,4616.5,1190.75,1228.5,1136.75,1162.0
2008-10-28,4617.25,4763.5,4605.75,4762.5,1162.75,1309.0,1151.25,1308.0
2008-10-29,4760.0,4801.25,4725.75,4748.5,1305.5,1346.75,1271.25,1294.0
2008-10-30,4747.5,4809.25,4747.5,4799.5,1293.0,1354.75,1293.0,1345.0
2008-10-31,4794.5,4815.75,4759.75,4791.5,1340.0,1361.25,1305.25,1337.0
2008-11-03,4794.5,4811.0,4777.0,4796.0,1340.0,1356.5,1322.5,1341.5
2008-11-04,4795.75,4838.5,4788.25,4835.0,1341.25,1384.0,1333.75,1380.5
2008-11-05,4834.25,4843.5,4750.75,4760.75,1379.75,1389.0,1296.25,1306.25
2008-11-06,4759.25,4760.25,4689.5,4695.0,1304.75,1305.75,1235.0,1240.5
2008-11-07,4695.75,4744.5,4695.75,4743.0,1241.25,1290.0,1241.25,1288.5
2008-11-10,4747.5,4775.75,4690.0,4711.0,1293.0,1321.25,1235.5,1256.5
2008-11-11,4709.5,4716.5,4662.5,4677.5,1255.0,1262.0,1208.0,1223.0
2008-11-12,4676.5,4699.25,4615.5,4618.0,1222.0,1244.75,1161.0,1163.5
2008-11-13,4619.75,4698.25,4563.0,4689.0,1165.25,1243.75,1108.5,1234.5
2008-11-14,4692.25,4694.25,4609.5,4610.0,1237.75,1239.75,1155.0,1155.5
2008-11-17,4611.75,4643.25,4593.75,4613.0,1157.25,1188.75,1139.25,1158.5
2008-11-18,4613.5,4630.0,4567.5,4628.5,1159.0,1175.5,1113.0,1174.0
2008-11-19,4623.0,4626.5,4537.25,4547.0,1168.5,1172.0,1082.75,1092.5
2008-11-20,4544.0,4569.5,4485.75,4494.0,1089.5,1115.0,1031.25,1039.5
2008-11-21,4498.0,4547.5,4472.25,4545.5,1043.5,1093.0,1017.75,1091.0
2008-11-24,4552.75,4618.5,4526.75,4601.5,1098.25,1164.0,1072.25,1147.0
2008-11-25,4600.25,4628.75,4572.25,4590.0,1145.75,1174.25,1117.75,1135.5
2008-11-26,4589.5,4649.5,4576.5,4649.0,1135.0,1195.0,1122.0,1194.5
2008-11-28,4646.25,4654.0,4625.75,4640.5,1191.75,1199.5,1171.25,1186.0
2008-12-01,4640.25,4642.75,4544.75,4549.0,1185.75,1188.25,1090.25,1094.5
2008-12-02,4545.75,4590.5,4544.0,4587.5,1091.25,1136.0,1089.5,1133.0
2008-12-03,4586.75,4621.0,4550.5,4610.5,1132.25,1166.5,1096.0,1156.0
2008-12-04,4612.25,4623.5,4563.5,4589.5,1157.75,1169.0,1109.0,1135.0
2008-12-05,4588.5,4635.5,4549.5,4632.5,1134.0,1181.0,1095.0,1178.0
2008-12-08,4631.5,4692.25,4625.25,4666.5,1177.0,1237.75,1170.75,1212.0
2008-12-09,4668.25,4707.0,4655.0,4671.5,1213.75,1252.5,1200.5,1217.0
2008-12-10,4672.25,4694.75,4657.75,4671.5,1217.75,1240.25,1203.25,1217.0
2008-12-11,4672.25,4684.0,4630.0,4643.0,1217.75,1229.5,1175.5,1188.5
2008-12-12,4639.75,4669.5,4588.5,4668.0,1185.25,1215.0,1134.0,1213.5
2008-12-15,4668.0,4677.25,4621.25,4648.0,1213.5,1222.75,1166.75,1193.5
2008-12-16,4646.5,4701.75,4642.25,4694.0,1193.5,1248.75,1189.25,1241.0
2008-12-17,4694.5,4697.75,4658.25,4681.5,1241.5,1244.75,1205.25,1228.5
2008-12-18,4680.5,4690.25,4646.5,4678.5,1227.5,1237.25,1193.5,1225.5
2008-12-19,4674.5,4690.75,4662.0,4664.0,1221.5,1237.75,1209.0,1211.0
2008-12-22,4664.5,4676.5,4622.5,4650.0,1211.5,1223.5,1169.5,1197.0
2008-12-23,4652.25,4659.5,4629.25,4637.5,1199.25,1206.5,1176.25,1184.5
2008-12-24,4638.75,4642.5,4631.75,4633.0,1185.75,1189.5,1178.75,1180.0
2008-12-26,4637.75,4644.0,4631.75,4641.5,1184.75,1191.0,1178.75,1188.5
2008-12-29,4641.0,4651.0,4609.25,4628.5,1188.0,1198.0,1156.25,1175.5
2008-12-30,4629.25,4661.0,4628.25,4659.0,1176.25,1208.0,1175.25,1206.0
2008-12-31,4659.25,4677.75,4649.75,4665.5,1206.25,1224.75,1196.75,1212.5
2009-01-02,4664.0,4721.25,4654.0,4706.0,1211.0,1268.25,1201.0,1253.0
2009-01-05,4704.75,4728.0,4697.25,4718.0,1251.75,1275.0,1244.25,1265.0
2009-01-06,4716.75,4740.0,4712.5,4724.0,1263.75,1287.0,1259.5,1271.0
2009-01-07,4723.0,4726.25,4680.5,4692.5,1270.0,1273.25,1227.5,1239.5
2009-01-08,4693.5,4705.75,4675.75,4702.5,1240.5,1252.75,1222.75,1249.5
2009-01-09,4703.25,4709.25,4669.0,4674.5,1250.25,1256.25,1216.0,1221.5
2009-01-12,4674.0,4679.0,4639.25,4659.0,1221.0,1226.0,1186.25,1206.0
2009-01-13,4659.25,4671.5,4638.0,4657.0,1206.25,1218.5,1185.0,1204.0
2009-01-14,4657.0,4663.75,4608.25,4618.5,1204.0,1210.75,1155.25,1165.5
2009-01-15,4618.25,4644.0,4591.5,4630.25,1165.25,1191.0,1138.5,1177.25
2009-01-16,4634.0,4654.0,4617.5,4650.0,1181.0,1201.0,1164.5,1197.0
2009-01-20,4652.0,4675.25,4585.0,4600.5,1199.0,1222.25,1132.0,1147.5
2009-01-21,4601.25,4638.0,4593.0,4634.5,1148.25,1185.0,1140.0,1181.5
2009-01-22,4634.75,4655.25,4599.0,4625.25,1181.75,1202.25,1146.0,1172.25
2009-01-23,4622.5,4644.0,4594.5,4617.25,1169.5,1191.0,1141.5,1164.25
2009-01-26,4618.0,4654.25,4599.75,4632.5,1165.0,1201.25,1146.75,1179.5
2009-01-27,4634.0,4653.25,4629.25,4638.75,1181.0,1200.25,1176.25,1185.75
2009-01-28,4640.75,4697.75,4638.0,4684.25,1187.75,1244.75,1185.0,1231.25
2009-01-29,4683.0,4684.25,4649.0,4659.0,1230.0,1231.25,1196.0,1206.0
2009-01-30,4660.5,4667.25,4626.75,4632.25,1207.5,1214.25,1173.75,1179.25
2009-02-02,4634.0,4655.0,4606.5,4641.75,1181.0,1202.0,1153.5,1188.75
2009-02-03,4642.75,4670.75,4630.5,4660.75,1189.75,1217.75,1177.5,1207.75
2009-02-04,4661.5,4695.75,4656.75,4667.0,1208.5,1242.75,1203.75,1214.0
2009-02-05,4667.75,4702.25,4638.0,4687.5,1214.75,1249.25,1185.0,1234.5
2009-02-06,4689.5,4732.5,4683.25,4728.75,1236.5,1279.5,1230.25,1275.75
2009-02-09,4726.0,4738.5,4711.0,4728.75,1273.0,1285.5,1258.0,1275.75
2009-02-10,4727.25,4739.0,4674.5,4685.5,1274.25,1286.0,1221.5,1232.5
2009-02-11,4680.0,4692.75,4659.5,4677.5,1227.0,1239.75,1206.5,1224.5
2009-02-12,4677.75,4700.0,4655.5,4698.25,1224.75,1247.0,1202.5,1245.25
2009-02-13,4698.25,4708.0,4679.0,4682.25,1245.25,1255.0,1226.0,1229.25
2009-02-17,4677.25,4680.0,4632.0,4635.5,1224.25,1227.0,1179.0,1182.5
2009-02-18,4638.25,4657.0,4624.5,4633.0,1185.25,1204.0,1171.5,1180.0
2009-02-19,4631.5,4654.5,4618.25,4623.5,1178.5,1201.5,1165.25,1170.5
2009-02-20,4623.5,4636.5,4603.0,4624.75,1170.5,1183.5,1150.0,1171.75
2009-02-23,4627.5,4649.0,4578.5,4588.75,1174.5,1196.0,1125.5,1135.75
2009-02-24,4589.0,4629.75,4586.0,4616.5,1136.0,1176.75,1133.0,1163.5
2009-02-25,4616.0,4637.25,4595.0,4607.0,1163.0,1184.25,1142.0,1154.0
2009-02-26,4608.5,4628.0,4579.75,4585.25,1155.5,1175.0,1126.75,1132.25
2009-02-27,4584.0,4591.75,4560.25,4570.0,1131.0,1138.75,1107.25,1117.0
2009-03-02,4567.25,4569.0,4527.25,4539.0,1114.25,1116.0,1074.25,1086.0
2009-03-03,4539.0,4555.25,4521.0,4525.0,1086.0,1102.25,1068.0,1072.0
2009-03-04,4526.0,4578.0,4515.0,4554.0,1073.0,1125.0,1062.0,1101.0
2009-03-05,4575.25,4575.25,4525.0,4536.0,1122.25,1122.25,1072.0,1083.0
2009-03-06,4537.0,4542.5,4496.0,4529.5,1084.0,1089.5,1043.0,1076.5
2009-03-09,4529.75,4540.75,4493.25,4500.0,1076.75,1087.75,1040.25,1047.0
2009-03-10,4498.25,4565.5,4494.75,4559.0,1045.25,1112.5,1041.75,1106.0
2009-03-11,4558.0,4588.75,4558.0,4578.0,1105.0,1135.75,1105.0,1125.0
2009-03-12,4578.5,4620.75,4564.75,4617.5,1125.5,1167.75,1111.75,1164.5
2009-03-13,4612.0,4629.0,4602.25,4622.5,1159.0,1176.0,1149.25,1169.5
2009-03-16,4622.0,4635.0,4597.0,4606.75,1169.0,1182.0,1144.0,1153.75
2009-03-17,4605.75,4646.0,4601.25,4644.75,1151.25,1191.5,1146.75,1190.25
2009-03-18,4644.5,4679.25,4633.5,4667.25,1190.0,1224.75,1179.0,1212.75
2009-03-19,4666.25,4677.25,4649.0,4658.0,1211.75,1222.75,1194.5,1203.5
2009-03-20,4659.25,4674.5,4631.75,4642.5,1204.75,1220.0,1177.25,1188.0
2009-03-23,4641.0,4712.5,4641.0,4706.5,1186.5,1258.0,1186.5,1252.0
2009-03-24,4708.0,4709.5,4686.0,4690.75,1253.5,1255.0,1231.5,1236.25
2009-03-25,4690.0,4716.0,4659.75,4688.0,1235.5,1261.5,1205.25,1233.5
2009-03-26,4685.5,4736.25,4685.5,4727.5,1231.0,1281.75,1231.0,1273.0
2009-03-27,4728.0,4731.5,4702.5,4710.5,1273.5,1277.0,1248.0,1256.0
2009-03-30,4704.5,4709.0,4658.0,4677.25,1250.0,1254.5,1203.5,1222.75
2009-03-31,4677.25,4712.25,4676.5,4692.0,1222.75,1257.75,1222.0,1237.5
2009-04-01,4682.5,4709.25,4664.5,4705.5,1228.0,1254.75,1210.0,1251.0
2009-04-02,4705.5,4765.25,4703.25,4756.0,1251.0,1310.75,1248.75,1301.5
2009-04-03,4758.25,4772.5,4747.75,4770.75,1303.75,1318.0,1293.25,1316.25
2009-04-06,4770.0,4782.0,4740.0,4766.5,1315.5,1327.5,1285.5,1312.0
2009-04-07,4766.5,4771.75,4721.25,4735.25,1312.0,1317.25,1266.75,1280.75
2009-04-08,4736.5,4760.25,4721.5,4753.0,1282.0,1305.75,1267.0,1298.5
2009-04-09,4753.25,4795.75,4751.75,4790.5,1298.75,1341.25,1297.25,1336.0
2009-04-13,4786.5,4798.0,4776.0,4786.5,1332.0,1343.5,1321.5,1332.0
2009-04-14,4788.5,4795.5,4765.0,4778.5,1334.0,1341.0,1310.5,1324.0
2009-04-15,4767.25,4774.5,4748.0,4771.5,1312.75,1320.0,1293.5,1317.0
2009-04-16,4771.25,4812.75,4761.75,4806.5,1316.75,1358.25,1307.25,1352.0
