rule,date,equity,pre_rebalance_leverage,post_rebalance_leverage,contracts_fractional,rebalanced
Monthly,2013-04-08,1.7420784220654293,3.06615170140236,3.06615170140236,0.0009603518011133144,False
Monthly,2013-04-09,1.7737700315021687,3.0292361646670565,3.0292361646670565,0.0009603518011133144,False
Monthly,2013-04-10,1.8808492573263034,2.913709076740952,2.913709076740952,0.0009603518011133144,False
Monthly,2013-04-11,1.8805622946664529,2.9141536914761637,2.9141536914761637,0.0009603518011133144,False
Monthly,2013-04-12,1.867402299128496,2.9274905736106582,2.9274905736106582,0.0009603518011133144,False
Monthly,2013-04-15,1.746878148088775,3.060475902481853,3.060475902481853,0.0009603518011133144,False
Monthly,2013-04-16,1.83234945838786,2.964363463657132,2.964363463657132,0.0009603518011133144,False
Monthly,2013-04-17,1.7295918156687353,3.081069241945598,3.081069241945598,0.0009603518011133144,False
Monthly,2013-04-18,1.6621135609129518,3.165708795137746,3.165708795137746,0.0009603518011133144,False
Monthly,2013-04-19,1.71759586157325,3.0955988342878946,3.0955988342878946,0.0009603518011133144,False
Monthly,2013-04-22,1.7732962660378222,3.029774693730644,3.029774693730644,0.0009603518011133144,False
Monthly,2013-04-23,1.8227543837951579,2.9746993436363702,2.9746993436363702,0.0009603518011133144,False
Monthly,2013-04-24,1.8246750873973845,2.972620720341279,2.972620720341279,0.0009603518011133144,False
Monthly,2013-04-25,1.8628049064542576,2.9323956716058106,2.9323956716058106,0.0009603518011133144,False
Monthly,2013-04-26,1.836875407824198,2.9596735428790653,2.9596735428790653,0.0009603518011133144,False
Monthly,2013-04-29,1.8911352845871003,2.903447187314369,2.903447187314369,0.0009603518011133144,False
Monthly,2013-04-30,1.9319502361344163,2.863234399598596,3.0,0.0010062240813200085,True
Monthly,2013-05-01,1.898744841450856,3.0349761526232113,3.0349761526232113,0.0010062240813200085,False
Monthly,2013-05-02,1.9765256755187413,2.9547425769961637,2.9547425769961637,0.0010062240813200085,False
Monthly,2013-05-03,2.0426247724524647,2.8916399316242525,2.8916399316242525,0.0010062240813200085,False
Monthly,2013-05-06,2.067780374485465,2.8686271678429383,2.8686271678429383,0.0010062240813200085,False
Monthly,2013-05-07,2.065767926322825,2.8704475636689493,2.8704475636689493,0.0010062240813200085,False
Monthly,2013-05-08,2.0967776887539054,2.8426324725160823,2.8426324725160823,0.0010062240813200085,False
Monthly,2013-05-09,2.0892310081440053,2.849288394574152,2.849288394574152,0.0010062240813200085,False
Monthly,2013-05-10,2.1241247221475446,2.8190621037927137,2.8190621037927137,0.0010062240813200085,False
Monthly,2013-05-13,2.1355190261759156,2.8092037108058565,2.8092037108058565,0.0010062240813200085,False
Monthly,2013-05-14,2.163866219333957,2.785655280021367,2.785655280021367,0.0010062240813200085,False
Monthly,2013-05-15,2.175437796269137,2.776157032134016,2.776157032134016,0.0010062240813200085,False
Monthly,2013-05-16,2.169903563821877,2.780687033394234,2.780687033394234,0.0010062240813200085,False
Monthly,2013-05-17,2.219547204024348,2.7407066056493656,2.7407066056493656,0.0010062240813200085,False
Monthly,2013-05-20,2.215687318987492,2.743891634544221,2.743891634544221,0.0010062240813200085,False
Monthly,2013-05-21,2.2170318194872976,2.7426814852043897,2.7426814852043897,0.0010062240813200085,False
Monthly,2013-05-22,2.1757766321531773,2.7757246984062256,2.7757246984062256,0.0010062240813200085,False
Monthly,2013-05-23,2.158167710730077,2.7902131909028145,2.7902131909028145,0.0010062240813200085,False
Monthly,2013-05-24,2.158167710730077,2.7902131909028145,2.7902131909028145,0.0010062240813200085,False
